"";"2"
"1991";NA
"1992";NA
"1993";NA
"1994";NA
"1995";NA
"1996";NA
"1997";NA
"1998";NA
"1999";NA
"2000";NA
"2001";NA
"2002";NA
"2003";NA
"2004";NA
"2005";NA
"2006";NA
"2007";NA
"2008";NA
"2009";6,86100761821139e-08
"2010";5,49457182356838e-07
"2011";1,74130189143636e-06
"2012";1,95341859044033e-09
"2013";5,96664285290933e-07
"2014";8,39918915015707e-07
"2015";1,47439983398175e-05
"2016";5,82701232099187e-06
"2017";4,16136702201925e-06
"2018";3,76338573710547e-05
"2019";1,76000591286324e-06
"2020";NA
"2021";2,13386247001463e-12
"2022";NA
"2023";NA
